0,CRITICAL SENTENCE,CRITICAL SENTENCE,CRITICAL SENTENCE (SPANISH UNICODE),UNDERLYING METAPHOR,QUESTION FRAME,QUESTION FRAME(SPANISH),QUESTION FRAME (SPANISH UNICODE),CORRECT ANSWER,CORRECT ANSWER(SPANISH),CORRECT ANSWER (SPANISH UNICODE),RELATED ANSWER,RELATED ANSWER(SPANISH),RELATED ANSWER (SPANISH UNICODE),UNRELATED ANSWER 1,UNRELATED ANSWER 1(SPANISH),UNRELATED ANSWER 1 (SPANISH UNICODE),UNRELATED ANSWER 2,UNRELATED ANSWER 2(SPANISH),UNRELATED ANSWER 2(SPANISH UNICODE),SET
9,All of the school children are very excited because Halloween is fast approaching.,Todos los niños de la escuela están muy emocionados porque el Día de los Muertos (Halloween) se acerca rápidamente.,Todos los ni&#241;os de la escuela est&#225;n muy emocionados porque el D&#237;a de los Muertos (Halloween) se acerca r&#225;pidamente.,Time Periods is An Object in Motion,"In the above sentence, Halloween is being described in terms of: ","En la oración de arriba, el Día de los Muertos (Halloween) se describe en términos de:","En la oraci&#243;n de arriba, el D&#237;a de los Muertos (Halloween) se describe en t&#233;rminos de:",An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,A Region in Space,Una Región en el Espacio,Una Regi&#243;n en el Espacio,Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,2
10,All of the school children are very excited because we are approaching Halloween fast.,Todos los niños de la escuela están muy emocionados porque rápidamente nos acercamos al Día de los Muertos (Halloween).,Todos los ni&#241;os de la escuela est&#225;n muy emocionados porque r&#225;pidamente nos acercamos al D&#237;a de los Muertos (Halloween).,Time Periods is A Region in Space,"In the above sentence, Halloween is being described in terms of: ","En la oración de arriba, el Día de los Muertos (Halloween) se describe en términos de:","En la oraci&#243;n de arriba, el D&#237;a de los Muertos (Halloween) se describe en t&#233;rminos de:",A Region in Space,Una Región en el Espacio,Una Regi&#243;n en el Espacio,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,2
11,An important benchmark of success is within the company's reach.,Un punto importante de éxito está al alcance de la compañía.,Un punto importante de &#233;xito est&#225; al alcance de la compa&#241;&#237;a.,Achieving a Goal is Acquiring a Desired Object,"In the above sentence, achievement of success is being described in terms of: ","En la oración de arriba, el logro de éxito se describe en términos de:","En la oraci&#243;n de arriba, el logro de &#233;xito se describe en t&#233;rminos de:",Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,Hunger,Hambre,Hambre,Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,1
12,"At the stroke of midnight, the woman told her husband, ""The New Year has arrived""","Al toque de la medianoche, la mujer le dijo a su esposo, “Ha llegado el Año Nuevo.""","Al toque de la medianoche, la mujer le dijo a su esposo, &#8220;Ha llegado el A&#241;o Nuevo.""",Time Periods is An Object in Motion,"In the above sentence, the New Year is being described in terms of: ","En la oración de arriba, el Año Nuevo se describe en términos de:","En la oraci&#243;n de arriba, el A&#241;o Nuevo se describe en t&#233;rminos de:",An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,A Region in Space,Una Región en el Espacio,Una Regi&#243;n en el Espacio,Cleanliness,Limpieza,Limpieza,Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,2
13,"At the stroke of midnight, the woman told her husband, ""We've arrived at the New Year.""","Al toque de la medianoche, la mujer le dijo a su esposo, “Hemos llegado al Año Nuevo.""","Al toque de la medianoche, la mujer le dijo a su esposo, &#8220;Hemos llegado al A&#241;o Nuevo.""",Time Periods is A Region in Space,"In the above sentence, the New Year is being described in terms of: ","En la oración de arriba, el Año Nuevo se describe en términos de:","En la oraci&#243;n de arriba, el A&#241;o Nuevo se describe en t&#233;rminos de:",A Region in Space,Una Región en el Espacio,Una Regi&#243;n en el Espacio,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,1
14,"Because of drastic budget cuts, the number of students who enrolled in the university was low.",Debido a los drásticos cortes al presupuesto el número de estudiantes que se inscribieron a la Universidad fue bajo.,Debido a los dr&#225;sticos cortes al presupuesto el n&#250;mero de estudiantes que se inscribieron a la Universidad fue bajo.,Quantity  is Vertical Elevation,"In the above sentence, the number of students is being described in terms of: ","En la oración de arriba, el numero de estudiantes se describe en términos de:","En la oraci&#243;n de arriba, el numero de estudiantes se describe en t&#233;rminos de:",Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,1
15,"Because of drastic budget cuts, the number of students who enrolled in the university was tiny.","Debido a los drásticos cortes al presupuesto, el número de estudiantes que se inscribieron a la universidad fue diminuto.","Debido a los dr&#225;sticos cortes al presupuesto, el n&#250;mero de estudiantes que se inscribieron a la universidad fue diminuto.",Quantity  is Physical Size,"In the above sentence, the number of students is being described in terms of: ","En la oración de arriba, el numero de estudiantes se describe en términos de:","En la oraci&#243;n de arriba, el numero de estudiantes se describe en t&#233;rminos de:",Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Smell,Olor,Olor,Hunger,Hambre,Hambre,1
16,"By appointing a new environmental commission, the administration gained an important achievement. ","Al designar una comisión ambiental nueva, la administración adquirió un logro importante.","Al designar una comisi&#243;n ambiental nueva, la administraci&#243;n adquiri&#243; un logro importante.",Achieving a Goal is Acquiring a Desired Object,"In the above sentence, achievement is being described in terms of: ","En la oración de arriba, el logro se describe en términos de:","En la oraci&#243;n de arriba, el logro se describe en t&#233;rminos de:",Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,1
17,"By appointing a new environmental commission, the administration passed an important milestone.","Al designar una comisión ambiental nueva, la administración adquirió un logro importante.","Al designar una comisi&#243;n ambiental nueva, la administraci&#243;n adquiri&#243; un logro importante.",Achieving a Goal is Arriving at a Destination,"In the above sentence, achievement is being described in terms of: ","En la oración de arriba, el logro se describe en términos de:","En la oraci&#243;n de arriba, el logro se describe en t&#233;rminos de:",Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Hunger,Hambre,Hambre,a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,1
18,"Despite going through some tough times, the woman was on the upswing.","A pesar de haber pasado por tiempos difíciles, la mujer estaba en alzamiento.","A pesar de haber pasado por tiempos dif&#237;ciles, la mujer estaba en alzamiento.",Happiness is Vertical Elevation,"In the above sentence, the woman's mood is being described in terms of: ","En la oración de arriba, el humor de la mujer se describe en términos de:","En la oraci&#243;n de arriba, el humor de la mujer se describe en t&#233;rminos de:",Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Smell,Olor,Olor,2
19,"Despite going through some tough times, the woman was radiant.","A pesar de haber pasado por tiempos difíciles, la mujer estaba radiante.","A pesar de haber pasado por tiempos dif&#237;ciles, la mujer estaba radiante.",Happiness is Brightness,"In the above sentence, the woman's mood is being described in terms of: ","En la oración de arriba, el humor de la mujer se describe en términos de:","En la oraci&#243;n de arriba, el humor de la mujer se describe en t&#233;rminos de:",Brightness,Luminosidad(Resplandor),Luminosidad(Resplandor),Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),1
20,"Despite the amount of time spent rehearsing, the drummer's performance really stunk.","A pesar del tiempo que se pasó ensayando, el concierto del baterista en realidad apestó.","A pesar del tiempo que se pas&#243; ensayando, el concierto del baterista en realidad apest&#243;.",Goodness/Badness is Smell,"In the above sentence, the quality of the drummer's performance is being described in terms of: ","En la oración de arriba, la calidad del concierto del baterista se describe en términos de:","En la oraci&#243;n de arriba, la calidad del concierto del baterista se describe en t&#233;rminos de:",Smell,Olor,Olor,Cleanliness,Limpieza,Limpieza,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,2
21,"Despite the amount of time spent rehearsing, the drummer's performance was sloppy.","A pesar del tiempo que se pasó ensayando, el concierto del baterista fue descuidado.","A pesar del tiempo que se pas&#243; ensayando, el concierto del baterista fue descuidado.",Goodness/Badness is Cleanliness,"In the above sentence, the quality of the drummer's performance is being described in terms of: ","En la oración de arriba, la calidad del concierto del baterista se describe en términos de:","En la oraci&#243;n de arriba, la calidad del concierto del baterista se describe en t&#233;rminos de:",Cleanliness,Limpieza,Limpieza,Smell,Olor,Olor,Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),Holding an object,Sostener un Objeto,Sostener un Objeto,2
22,"Even though there were 400 new employees, Jill had a handle on the payroll situation.","Aunque había 400 empleados nuevos, Jill tenía la situación de la nómina sujetada.","Aunque hab&#237;a 400 empleados nuevos, Jill ten&#237;a la situaci&#243;n de la n&#243;mina sujetada.",Being in Control is Holding an Object,"In the above sentence, Jill's control of the situation is being described in terms of: ","En la oración de arriba, el control de la situación por Jill se describe en términos de:","En la oraci&#243;n de arriba, el control de la situaci&#243;n por Jill se describe en t&#233;rminos de:",Holding an Object,Sostener un Objeto,Sostener un Objeto,Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,Smell,Olor,Olor,Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),1
23,"Even though there were 400 new employees, Jill was on top of the payroll situation.","Aunque había 400 empleados nuevos, Jill estaba encima de la situación de la nómina.","Aunque hab&#237;a 400 empleados nuevos, Jill estaba encima de la situaci&#243;n de la n&#243;mina.",Being in Control is Vertical Positioning,"In the above sentence, Jill's control of the situation is being described in terms of: ","En la oración de arriba, el control de la situación por Jill se describe en términos de:","En la oraci&#243;n de arriba, el control de la situaci&#243;n por Jill se describe en t&#233;rminos de:",Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,Holding an Object,Sostener un Objeto,Sostener un Objeto,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),2
24,Foreign policy was a peripheral issue in the debate ,La póliza extranjera fue un asunto periférico en el debate.,La p&#243;liza extranjera fue un asunto perif&#233;rico en el debate.,Importance is Centrality in Space,"In the above sentence, the importance of foreign policy is being described in terms of: ","En la oración de arriba, la importancia de la póliza extranjera se describe en términos de:","En la oraci&#243;n de arriba, la importancia de la p&#243;liza extranjera se describe en t&#233;rminos de:",Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,1
25,Globochem's sales figures for the quarter were huge.,Las cifras de ventas del trimestre en Globochem fueron enormes.,Las cifras de ventas del trimestre en Globochem fueron enormes.,Quantity  is Physical Size,"In the above sentence, Globochem's sales figures are being described in terms of: ","En la oración de arriba, las cifras de ventas de Globochem se describe en términos de:","En la oraci&#243;n de arriba, las cifras de ventas de Globochem se describe en t&#233;rminos de:",Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Arriving at a Destination,Llegar a un Destino,Llegar a un Destino,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,2
26,Globochem's sales figures for the quarter were through the roof.,Las cifras de ventas del trimestre en Globochem se fueron por las nubes.,Las cifras de ventas del trimestre en Globochem se fueron por las nubes.,Quantity  is Vertical Elevation,"In the above sentence, Globochem's sales figures are being described in terms of: ","En la oración de arriba, las cifras de ventas de Globochem se describen en términos de:","En la oraci&#243;n de arriba, las cifras de ventas de Globochem se describen en t&#233;rminos de:",Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Smell,Olor,Olor,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),2
27,He waited for a lull in the discussion to leave the room,Él esperó un momento de calma en la discusión para irse del salón.,&#201;l esper&#243; un momento de calma en la discusi&#243;n para irse del sal&#243;n.,Activity is Being Asleep/Awake,"In the above sentence, the activity of the discussion is being described in terms of: ","En la oración de arriba, la actividad de la discusión se describe en términos de:","En la oraci&#243;n de arriba, la actividad de la discusi&#243;n se describe en t&#233;rminos de:",Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Brightness,Luminosidad (Resplandor),Luminosidad (Resplandor),1
28,Her appetite for controversy got her into trouble.,Su apetito por controversia la metió en problemas.,Su apetito por controversia la meti&#243; en problemas.,Desire is Hunger,"In the above sentence, the woman's desire for controversy is being described in terms of: ","En la oración de arriba, el deseo de la mujer por la controversia se describe en términos de:","En la oraci&#243;n de arriba, el deseo de la mujer por la controversia se describe en t&#233;rminos de:",Hunger,Hambre,Hambre,a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,Holding an object,Sostener un Objeto,Sostener un Objeto,Smell,Olor,Olor,2
29,Her gravitation toward controversy got her into trouble. ,Su gravitación hacía la controversia la metió en problemas.,Su gravitaci&#243;n hac&#237;a la controversia la meti&#243; en problemas.,Desire is a Physical Force,"In the above sentence, the woman's desire for controversy is being described in terms of: ","En la oración de arriba,  el deseo de la mujer por la controversia se describe en términos de:","En la oraci&#243;n de arriba,  el deseo de la mujer por la controversia se describe en t&#233;rminos de:",a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,Hunger,Hambre,Hambre,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,1
30,"In the last week, the new president has begun to grasp the nation's problems.","En la semana pasada, el nuevo presidente ha comenzado a captar los problemas de la nación.","En la semana pasada, el nuevo presidente ha comenzado a captar los problemas de la naci&#243;n.","Understanding, Knowing is Holding an Object","In the above sentence, the president's understanding of the nation's problems is being described in terms of: ","En la oración de arriba, la comprensión de los problemas de la nación por el presidente se describe en términos de:","En la oraci&#243;n de arriba, la comprensi&#243;n de los problemas de la naci&#243;n por el presidente se describe en t&#233;rminos de:",Holding an Object,Sostener un Objeto,Sostener un Objeto,Seeing something,Ver Algo,Ver Algo,Smell,Olor,Olor,A Region in Space,Una Región en el Espacio,Una Regi&#243;n en el Espacio,1
31,"In the last week, the new president has gotten a glimpse of the nation's problems.","En la semana pasada, el nuevo presidente ha conseguido un vistazo de los problemas de la nación.","En la semana pasada, el nuevo presidente ha conseguido un vistazo de los problemas de la naci&#243;n.","Understanding, Knowing is Seeing something","In the above sentence, the president's understanding of the nation's problems is being described in terms of: ","En la oración de arriba, la comprensión de los problemas de la nación por el presidente se describe en términos de:","En la oraci&#243;n de arriba, la comprensi&#243;n de los problemas de la naci&#243;n por el presidente se describe en t&#233;rminos de:",Seeing something,Ver Algo,Ver Algo,Holding an Object,Sostener un Objeto,Sostener un Objeto,Being Alive/Dead,Estar Vivo(a)/Muerto(a),Estar Vivo(a)/Muerto(a),Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,1
32,Interest in this fall's election is growing.,El interés en la elección de este otoño esta creciendo,El inter&#233;s en la elecci&#243;n de este oto&#241;o esta creciendo.,Quantity  is Physical Size,"In the above sentence, the amount of interest in the election is being described in terms of: ","En la oración de arriba, la cantidad de interés en las elecciones se describe en términos de:","En la oraci&#243;n de arriba, la cantidad de inter&#233;s en las elecciones se describe en t&#233;rminos de:",Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Acquiring a Desired Object,Adquirir un Objeto Deseado,Adquirir un Objeto Deseado,Cleanliness,Limpieza,Limpieza,2
33,Interest in this fall's election is rising.,El interés en la elección de este otoño esta subiendo.,El inter&#233;s en la elecci&#243;n de este oto&#241;o esta subiendo.,Quantity  is Vertical Elevation,"In the above sentence, the amount of interest in the election is being described in terms of: ","En la oración de arriba, la cantidad de interés en las elecciones se describe en términos de:","En la oraci&#243;n de arriba, la cantidad de inter&#233;s en las elecciones se describe en t&#233;rminos de:",Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,Cleanliness,Limpieza,Limpieza,Being Asleep/Awake,Estar Dormido(a)/Despierto(a),Estar Dormido(a)/Despierto(a),2
34,"Thanks to his keen social skills, the student came to grips with the reality of the situation.","Gracias a sus agudas habilidades sociales, el estudiante llego a enganchar la realidad de la situación.","Gracias a sus agudas habilidades sociales, el estudiante llego a enganchar la realidad de la situaci&#243;n.","Understanding, Knowing is Holding an Object","In the above sentence, the student's understanding of the situation is being described in terms of: ","En la oración de arriba, el entendimiento de la situación por el estudiante se describe en términos de:","En la oraci&#243;n de arriba, el entendimiento de la situaci&#243;n por el estudiante se describe en t&#233;rminos de:",Holding an Object,Sostener un Objeto,Sostener un Objeto,Seeing something,Ver Algo,Ver Algo,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,1
35,"Thanks to his keen social skills, the student could see the reality of the situation.","Gracias a sus agudas habilidades sociales, el estudiante pudo ver la realidad de la situación.","Gracias a sus agudas habilidades sociales, el estudiante pudo ver la realidad de la situaci&#243;n.","Understanding, Knowing is Vision","In the above sentence, the student's understanding of the situation is being described in terms of: ","En la oración de arriba, el entendimiento de la situación por el estudiante se describe en términos de:","En la oraci&#243;n de arriba, el entendimiento de la situaci&#243;n por el estudiante se describe en t&#233;rminos de:",Seeing something,Ver Algo,Ver Algo,Holding an Object,Sostener un Objeto,Sostener un Objeto,Physical Size,Tamaño Físico,Tama&#241;o F&#237;sico,An Object in Motion,Un Objeto en Movimiento,Un Objeto en Movimiento,1
36,The artist lit up  after selling his first painting.,El artista se ilumino después de haber vendido su primera pintura.,El artista se ilumino despu&#233;s de haber vendido su primera pintura.,Happiness is Brightness,"In the above sentence, the artist's mood is being described in terms of: ","En la oración de arriba, el humor del artista se describe en términos de:","En la oraci&#243;n de arriba, el humor del artista se describe en t&#233;rminos de:",Brightness,Luminosidad(Resplandor),Luminosidad(Resplandor),Vertical Elevation,Elevación Vertical,Elevaci&#243;n Vertical,Centrality in Space,Centralidad en el Espacio,Centralidad en el Espacio,Cleanliness,Limpieza,Limpieza,1
37,The artist was drawn to the idea of gaining recognition from the public.,El artista estaba atraído a la idea de obtener reconocimiento del público.,El artista estaba atra&#237;do a la idea de obtener reconocimiento del p&#250;blico.,Desire is a Physical Force,"In the above sentence, the artist's desire for recognition is being described in terms of: ","En la oración de arriba, el deseo de reconocimiento por el artista se describe en términos de:","En la oraci&#243;n de arriba, el deseo de reconocimiento por el artista se describe en t&#233;rminos de:",a Physical Force,Una Fuerza Física,Una Fuerza F&#237;sica,Hunger,Hambre,Hambre,Vertical Positioning,Colocación Vertical,Colocaci&#243;n Vertical,A Region in Space,Una Región en el Espacio,Una Regi&#243;n en el Espacio,1
