UNIQUE ID,CRITICAL SENTENCE ENGLISH,CRITICAL SENTENCE UNICODE,CRITICAL SENTENCE RUSSIAN,QUESTION FRAME ENGLISH,QUESTION FRAME RUSSIAN,QUESTION FRAME UNICODE,UNDERLYING METAPHOR,UNDERLYING METAPHOR,CORRECT ANSWER,CORRECT ANSWER,CORRECT ANSWER,RELATED ANSWER,RELATED ANSWER,RELATED ANSWER,UNRELATED ANSWER 1,UNRELATED ANSWER 1,UNRELATED ANSWER 1,UNRELATED ANSWER 2,UNRELATED ANSWER 2,UNRELATED ANSWER 2,SET
9,All of the school children are very excited because Halloween is fast approaching.,"&#1042;&#1089;&#1077; &#1096;&#1082;&#1086;&#1083;&#1100;&#1085;&#1080;&#1082;&#1080; &#1086;&#1095;&#1077;&#1085;&#1100; &#1088;&#1072;&#1076;&#1099; &#1090;&#1086;&#1084;&#1091;, &#1095;&#1090;&#1086; &#1089;&#1082;&#1086;&#1088;&#1086; &#1087;&#1088;&#1080;&#1073;&#1083;&#1080;&#1078;&#1072;&#1077;&#1090;&#1089;&#1103; &#1061;&#1101;&#1083;&#1083;&#1086;&#1091;&#1080;&#1085;.","Все школьники очень рады тому, что скоро приближается Хэллоуин.","In the above sentence, Halloween is being described in terms of:",В этом предложении  Хэллоуин описан как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1061;&#1101;&#1083;&#1083;&#1086;&#1091;&#1080;&#1085; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085; &#1082;&#1072;&#1082;:,Time Periods is An Object in Motion,Период времени,Object in Motion,Объект в движении,&#1054;&#1073;&#1098;&#1077;&#1082;&#1090; &#1074; &#1076;&#1074;&#1080;&#1078;&#1077;&#1085;&#1080;&#1080;,A Region in Space,Место/Пространство,&#1052;&#1077;&#1089;&#1090;&#1086;/&#1055;&#1088;&#1086;&#1089;&#1090;&#1088;&#1072;&#1085;&#1089;&#1090;&#1074;&#1086;,Vertical Positioning,Позиция по вертикали,&#1055;&#1086;&#1079;&#1080;&#1094;&#1080;&#1103; &#1087;&#1086; &#1074;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1080;,Vertical Elevation,Подъем/Вертикальность,&#1055;&#1086;&#1076;&#1098;&#1077;&#1084;/&#1042;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,2
10,All of the school children are very excited because we are approaching Halloween fast.,"&#1042;&#1089;&#1077; &#1096;&#1082;&#1086;&#1083;&#1100;&#1085;&#1080;&#1082;&#1080; &#1086;&#1095;&#1077;&#1085;&#1100; &#1088;&#1072;&#1076;&#1099; &#1090;&#1086;&#1084;&#1091;, &#1095;&#1090;&#1086; &#1061;&#1101;&#1083;&#1083;&#1086;&#1091;&#1080;&#1085; -- &#1085;&#1077; &#1079;&#1072; &#1075;&#1086;&#1088;&#1072;&#1084;&#1080;.","Все школьники очень рады тому, что Хэллоуин -- не за горами.","In the above sentence, Halloween is being described in terms of: ",В этом предложении  Хэллоуин описан как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1061;&#1101;&#1083;&#1083;&#1086;&#1091;&#1080;&#1085; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085; &#1082;&#1072;&#1082;:,Time Periods is A Region in Space,Период времени,Region in Space,Место/Пространство,&#1052;&#1077;&#1089;&#1090;&#1086;/&#1055;&#1088;&#1086;&#1089;&#1090;&#1088;&#1072;&#1085;&#1089;&#1090;&#1074;&#1086;,An Object in Motion,Объект в движении,&#1054;&#1073;&#1098;&#1077;&#1082;&#1090; &#1074; &#1076;&#1074;&#1080;&#1078;&#1077;&#1085;&#1080;&#1080;,Brightness,Яркость,&#1071;&#1088;&#1082;&#1086;&#1089;&#1090;&#1100;,a Physical Force,Физическая сила,&#1060;&#1080;&#1079;&#1080;&#1095;&#1077;&#1089;&#1082;&#1072;&#1103; &#1089;&#1080;&#1083;&#1072;,2
11,An important benchmark of success is within the company's reach.,&#1042;&#1072;&#1078;&#1085;&#1099;&#1081; &#1082;&#1088;&#1080;&#1090;&#1077;&#1088;&#1080;&#1081; &#1091;&#1089;&#1087;&#1077;&#1093;&#1072; &#1082;&#1086;&#1084;&#1087;&#1072;&#1085;&#1080;&#1080; &#1085;&#1072;&#1093;&#1086;&#1076;&#1080;&#1090;&#1089;&#1103; &#1074; &#1087;&#1088;&#1077;&#1076;&#1077;&#1083;&#1072;&#1093; &#1076;&#1086;&#1089;&#1103;&#1075;&#1072;&#1077;&#1084;&#1086;&#1089;&#1090;&#1080; .,Важный критерий успеха компании находится в пределах досягаемости .,"In the above sentence, achievement of success is being described in terms of: ",В этом предложении достижение цели описано как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1076;&#1086;&#1089;&#1090;&#1080;&#1078;&#1077;&#1085;&#1080;&#1077; &#1094;&#1077;&#1083;&#1080; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1086; &#1082;&#1072;&#1082;:,Achieving a Goal is Acquiring a Desired Object,Достижение цели,Acquiring a Desired Object,Приобретение объекта,&#1055;&#1088;&#1080;&#1086;&#1073;&#1088;&#1077;&#1090;&#1077;&#1085;&#1080;&#1077; &#1086;&#1073;&#1098;&#1077;&#1082;&#1090;&#1072;,Arriving at a Destination,Прибывать в место назначения,&#1055;&#1088;&#1080;&#1073;&#1099;&#1074;&#1072;&#1090;&#1100; &#1074; &#1084;&#1077;&#1089;&#1090;&#1086; &#1085;&#1072;&#1079;&#1085;&#1072;&#1095;&#1077;&#1085;&#1080;&#1103;,Hunger,Голод,&#1043;&#1086;&#1083;&#1086;&#1076;,Vertical Positioning,Позиция по вертикали,&#1055;&#1086;&#1079;&#1080;&#1094;&#1080;&#1103; &#1087;&#1086; &#1074;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1080;,1
12,"At the stroke of midnight, the woman told her husband, ""The New Year has arrived""","&#1042; &#1087;&#1086;&#1083;&#1085;&#1086;&#1095;&#1100; &#1078;&#1077;&#1085;&#1072; &#1089;&#1082;&#1072;&#1079;&#1072;&#1083;&#1072; &#1089;&#1074;&#1086;&#1077;&#1084;&#1091; &#1084;&#1091;&#1078;&#1091;: ""&#1053;&#1091; &#1074;&#1086;&#1090; &#1080; &#1085;&#1072;&#1089;&#1090;&#1091;&#1087;&#1080;&#1083; &#1053;&#1086;&#1074;&#1099;&#1081; &#1075;&#1086;&#1076;""","В полночь жена сказала своему мужу: ""Ну вот и наступил Новый год""","In the above sentence, the New Year is being described in terms of: ",В этом предложении какой-то период времени описан как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1082;&#1072;&#1082;&#1086;&#1081;-&#1090;&#1086; &#1087;&#1077;&#1088;&#1080;&#1086;&#1076; &#1074;&#1088;&#1077;&#1084;&#1077;&#1085;&#1080; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085; &#1082;&#1072;&#1082;:,Time Periods is An Object in Motion,Период времени,Object in Motion,Объект в движении,&#1054;&#1073;&#1098;&#1077;&#1082;&#1090; &#1074; &#1076;&#1074;&#1080;&#1078;&#1077;&#1085;&#1080;&#1080;,A Region in Space,Место/Пространство,&#1052;&#1077;&#1089;&#1090;&#1086;/&#1055;&#1088;&#1086;&#1089;&#1090;&#1088;&#1072;&#1085;&#1089;&#1090;&#1074;&#1086;,Cleanliness,Чистота,&#1063;&#1080;&#1089;&#1090;&#1086;&#1090;&#1072;,Acquiring a Desired Object,Приобретение объекта,&#1055;&#1088;&#1080;&#1086;&#1073;&#1088;&#1077;&#1090;&#1077;&#1085;&#1080;&#1077; &#1086;&#1073;&#1098;&#1077;&#1082;&#1090;&#1072;,2
13,"At the stroke of midnight, the woman told her husband, ""We've arrived at the New Year.""","&#1042; &#1087;&#1086;&#1083;&#1085;&#1086;&#1095;&#1100; &#1078;&#1077;&#1085;&#1072; &#1089;&#1082;&#1072;&#1079;&#1072;&#1083;&#1072; &#1089;&#1074;&#1086;&#1077;&#1084;&#1091; &#1084;&#1091;&#1078;&#1091;: ""&#1053;&#1091; &#1074;&#1086;&#1090; &#1084;&#1099; &#1080; &#1074;&#1089;&#1090;&#1091;&#1087;&#1080;&#1083;&#1080; &#1074; &#1053;&#1086;&#1074;&#1099;&#1081; &#1075;&#1086;&#1076;""","В полночь жена сказала своему мужу: ""Ну вот мы и вступили в Новый год""","In the above sentence, the New Year is being described in terms of: ",В этом предложении какой-то период времени описан как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1082;&#1072;&#1082;&#1086;&#1081;-&#1090;&#1086; &#1087;&#1077;&#1088;&#1080;&#1086;&#1076; &#1074;&#1088;&#1077;&#1084;&#1077;&#1085;&#1080; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085; &#1082;&#1072;&#1082;:,Time Periods is A Region in Space,Период времени,Region in Space,Место/Пространство,&#1052;&#1077;&#1089;&#1090;&#1086;/&#1055;&#1088;&#1086;&#1089;&#1090;&#1088;&#1072;&#1085;&#1089;&#1090;&#1074;&#1086;,An Object in Motion,Объект в движении,&#1054;&#1073;&#1098;&#1077;&#1082;&#1090; &#1074; &#1076;&#1074;&#1080;&#1078;&#1077;&#1085;&#1080;&#1080;,Vertical Elevation,Подъем/Вертикальность,&#1055;&#1086;&#1076;&#1098;&#1077;&#1084;/&#1042;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,Centrality in Space,Центральность,&#1062;&#1077;&#1085;&#1090;&#1088;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,1
14,"Because of drastic budget cuts, the number of students who enrolled in the university was low.","&#1048;&#1079;-&#1079;&#1072; &#1088;&#1077;&#1079;&#1082;&#1086;&#1075;&#1086; &#1089;&#1086;&#1082;&#1088;&#1072;&#1097;&#1077;&#1085;&#1080;&#1103; &#1073;&#1102;&#1076;&#1078;&#1077;&#1090;&#1072; &#1082;&#1086;&#1083;&#1080;&#1095;&#1077;&#1089;&#1090;&#1074;&#1086; &#1089;&#1090;&#1091;&#1076;&#1077;&#1085;&#1090;&#1086;&#1074;, &#1087;&#1088;&#1080;&#1085;&#1103;&#1090;&#1099;&#1093; &#1074; &#1091;&#1085;&#1080;&#1074;&#1077;&#1088;&#1089;&#1080;&#1090;&#1077;&#1090;, &#1073;&#1099;&#1083;&#1086; &#1085;&#1080;&#1079;&#1082;&#1086;&#1077;.","Из-за резкого сокращения бюджета количество студентов, принятых в университет, было низкое.","In the above sentence, the number of students is being described in terms of: ",В этом предложении количество студентов описано как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1082;&#1086;&#1083;&#1080;&#1095;&#1077;&#1089;&#1090;&#1074;&#1086; &#1089;&#1090;&#1091;&#1076;&#1077;&#1085;&#1090;&#1086;&#1074; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1086; &#1082;&#1072;&#1082;:,Quantity  is Vertical Elevation,Количество,Vertical Elevation,Подъем/Вертикальность,&#1055;&#1086;&#1076;&#1098;&#1077;&#1084;/&#1042;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,Size,Размер,&#1056;&#1072;&#1079;&#1084;&#1077;&#1088;,An Object in Motion,Объект в движении,&#1054;&#1073;&#1098;&#1077;&#1082;&#1090; &#1074; &#1076;&#1074;&#1080;&#1078;&#1077;&#1085;&#1080;&#1080;,Centrality in Space,Центральность,&#1062;&#1077;&#1085;&#1090;&#1088;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,1
15,"Because of drastic budget cuts, the number of students who enrolled in the university was tiny.","&#1048;&#1079;-&#1079;&#1072; &#1088;&#1077;&#1079;&#1082;&#1086;&#1075;&#1086; &#1089;&#1086;&#1082;&#1088;&#1072;&#1097;&#1077;&#1085;&#1080;&#1103; &#1073;&#1102;&#1076;&#1078;&#1077;&#1090;&#1072;, &#1082;&#1086;&#1083;&#1080;&#1095;&#1077;&#1089;&#1090;&#1074;&#1086; &#1089;&#1090;&#1091;&#1076;&#1077;&#1085;&#1090;&#1086;&#1074;, &#1087;&#1088;&#1080;&#1085;&#1103;&#1090;&#1099;&#1093; &#1074; &#1091;&#1085;&#1080;&#1074;&#1077;&#1088;&#1089;&#1080;&#1090;&#1077;&#1090;, &#1073;&#1099;&#1083;&#1086; &#1089;&#1086;&#1074;&#1077;&#1088;&#1096;&#1077;&#1085;&#1085;&#1086; &#1082;&#1088;&#1086;&#1096;&#1077;&#1095;&#1085;&#1099;&#1084;.","Из-за резкого сокращения бюджета, количество студентов, принятых в университет, было совершенно крошечным.","In the above sentence, the number of students is being described in terms of: ",В этом предложении количество студентов описано как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1082;&#1086;&#1083;&#1080;&#1095;&#1077;&#1089;&#1090;&#1074;&#1086; &#1089;&#1090;&#1091;&#1076;&#1077;&#1085;&#1090;&#1086;&#1074; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1086; &#1082;&#1072;&#1082;:,Quantity  is Physical Size,Количество,Size,Размер,&#1056;&#1072;&#1079;&#1084;&#1077;&#1088;,Vertical Elevation,Подъем/Вертикальность,&#1055;&#1086;&#1076;&#1098;&#1077;&#1084;/&#1042;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,Smell,Запах,&#1047;&#1072;&#1087;&#1072;&#1093;,Hunger,Голод,&#1043;&#1086;&#1083;&#1086;&#1076;,1
16,"By appointing a new environmental commission, the administration gained an important achievement. ",&#1057; &#1085;&#1072;&#1079;&#1085;&#1072;&#1095;&#1077;&#1085;&#1080;&#1077;&#1084; &#1085;&#1086;&#1074;&#1086;&#1081; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1081; &#1082;&#1086;&#1084;&#1080;&#1089;&#1089;&#1080;&#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1094;&#1080;&#1103; &#1076;&#1086;&#1073;&#1080;&#1083;&#1072;&#1089;&#1100; &#1074;&#1072;&#1078;&#1085;&#1099;&#1093; &#1088;&#1077;&#1079;&#1091;&#1083;&#1100;&#1090;&#1072;&#1090;&#1086;&#1074;.,С назначением новой экологической комиссии администрация добилась важных результатов.,"In the above sentence, achievement is being described in terms of: ",В этом предложении достижение цели описано как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1076;&#1086;&#1089;&#1090;&#1080;&#1078;&#1077;&#1085;&#1080;&#1077; &#1094;&#1077;&#1083;&#1080; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1086; &#1082;&#1072;&#1082;:,Achieving a Goal is Acquiring a Desired Object,Достижение цели,Acquiring a Desired Object,Приобретение объекта,&#1055;&#1088;&#1080;&#1086;&#1073;&#1088;&#1077;&#1090;&#1077;&#1085;&#1080;&#1077; &#1086;&#1073;&#1098;&#1077;&#1082;&#1090;&#1072;,Arriving at a Destination,Прибывать в место назначения,&#1055;&#1088;&#1080;&#1073;&#1099;&#1074;&#1072;&#1090;&#1100; &#1074; &#1084;&#1077;&#1089;&#1090;&#1086; &#1085;&#1072;&#1079;&#1085;&#1072;&#1095;&#1077;&#1085;&#1080;&#1103;,Being Alive/Dead,Быть живым/Мертвым,&#1041;&#1099;&#1090;&#1100; &#1078;&#1080;&#1074;&#1099;&#1084;/&#1052;&#1077;&#1088;&#1090;&#1074;&#1099;&#1084;,a Physical Force,Физическая сила,&#1060;&#1080;&#1079;&#1080;&#1095;&#1077;&#1089;&#1082;&#1072;&#1103; &#1089;&#1080;&#1083;&#1072;,1
17,"By appointing a new environmental commission, the administration passed an important milestone.",&#1057; &#1085;&#1072;&#1079;&#1085;&#1072;&#1095;&#1077;&#1085;&#1080;&#1077;&#1084; &#1085;&#1086;&#1074;&#1086;&#1081; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1081; &#1082;&#1086;&#1084;&#1080;&#1089;&#1089;&#1080;&#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1094;&#1080;&#1103; &#1076;&#1086;&#1089;&#1090;&#1080;&#1075;&#1083;&#1072; &#1074;&#1072;&#1078;&#1085;&#1091;&#1102; &#1094;&#1077;&#1083;&#1100;.,С назначением новой экологической комиссии администрация достигла важную цель.,"In the above sentence, achievement is being described in terms of: ",В этом предложении достижение цели описано как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1076;&#1086;&#1089;&#1090;&#1080;&#1078;&#1077;&#1085;&#1080;&#1077; &#1094;&#1077;&#1083;&#1080; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1086; &#1082;&#1072;&#1082;:,Achieving a Goal is Arriving at a Destination,Достижение цели,Reaching a Destination,Прибывать в место назначения,&#1055;&#1088;&#1080;&#1073;&#1099;&#1074;&#1072;&#1090;&#1100; &#1074; &#1084;&#1077;&#1089;&#1090;&#1086; &#1085;&#1072;&#1079;&#1085;&#1072;&#1095;&#1077;&#1085;&#1080;&#1103;,Acquiring a Desired Object,Приобретение объекта,&#1055;&#1088;&#1080;&#1086;&#1073;&#1088;&#1077;&#1090;&#1077;&#1085;&#1080;&#1077; &#1086;&#1073;&#1098;&#1077;&#1082;&#1090;&#1072;,Hunger,Голод,&#1043;&#1086;&#1083;&#1086;&#1076;,a Physical Force,Физическая сила,&#1060;&#1080;&#1079;&#1080;&#1095;&#1077;&#1089;&#1082;&#1072;&#1103; &#1089;&#1080;&#1083;&#1072;,1
18,"Despite going through some tough times, the woman was on the upswing.","&#1053;&#1077;&#1089;&#1084;&#1086;&#1090;&#1088;&#1103; &#1085;&#1072; &#1090;&#1088;&#1091;&#1076;&#1085;&#1099;&#1077; &#1074;&#1088;&#1077;&#1084;&#1077;&#1085;&#1072;, &#1088;&#1072;&#1089;&#1087;&#1086;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1077; &#1076;&#1091;&#1093;&#1072; &#1091; &#1078;&#1077;&#1085;&#1097;&#1080;&#1085;&#1099; &#1073;&#1099;&#1083;o &#1085;&#1072; &#1087;&#1086;&#1076;&#1098;&#1077;&#1084;&#1077;.","Несмотря на трудные времена, расположение духа у женщины былo на подъеме.","In the above sentence, the woman's mood is being described in terms of: ",В этом предложении расположение духа описано как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1088;&#1072;&#1089;&#1087;&#1086;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1077; &#1076;&#1091;&#1093;&#1072; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1086; &#1082;&#1072;&#1082;:,Happiness is Vertical Elevation,Счастье,Vertical Elevation,Подъем/Вертикальность,&#1055;&#1086;&#1076;&#1098;&#1077;&#1084;/&#1042;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,Brightness,Яркость,&#1071;&#1088;&#1082;&#1086;&#1089;&#1090;&#1100;,Acquiring a Desired Object,Приобретение объекта,&#1055;&#1088;&#1080;&#1086;&#1073;&#1088;&#1077;&#1090;&#1077;&#1085;&#1080;&#1077; &#1086;&#1073;&#1098;&#1077;&#1082;&#1090;&#1072;,Smell,Запах,&#1047;&#1072;&#1087;&#1072;&#1093;,2
19,"Despite going through some tough times, the woman was radiant.","&#1053;&#1077;&#1089;&#1084;&#1086;&#1090;&#1088;&#1103; &#1085;&#1072; &#1090;&#1088;&#1091;&#1076;&#1085;&#1099;&#1077; &#1074;&#1088;&#1077;&#1084;&#1077;&#1085;&#1072;, y &#1078;&#1077;&#1085;&#1097;&#1080;&#1085;&#1099; &#1073;&#1099;&#1083;&#1086; &#1073;&#1083;&#1077;&#1089;&#1090;&#1103;&#1097;&#1077;&#1077; &#1085;&#1072;&#1089;&#1090;&#1088;&#1086;&#1077;&#1085;&#1080;&#1077;","Несмотря на трудные времена, y женщины было блестящее настроение","In the above sentence, the woman's mood is being described in terms of: ",В этом предложении настроение описано как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1085;&#1072;&#1089;&#1090;&#1088;&#1086;&#1077;&#1085;&#1080;&#1077; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1086; &#1082;&#1072;&#1082;:,Happiness is Brightness,Счастье,Brightness,Яркость,&#1071;&#1088;&#1082;&#1086;&#1089;&#1090;&#1100;,Vertical Elevation,Подъем/Вертикальность,&#1055;&#1086;&#1076;&#1098;&#1077;&#1084;/&#1042;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1100;,Size,Размер,&#1056;&#1072;&#1079;&#1084;&#1077;&#1088;,Being Asleep/Awake,Сон/ Бодрствование,&#1057;&#1086;&#1085;/ &#1041;&#1086;&#1076;&#1088;&#1089;&#1090;&#1074;&#1086;&#1074;&#1072;&#1085;&#1080;&#1077;,1
20,"Despite the amount of time spent rehearsing, the drummer's performance really stunk.","&#1053;&#1077;&#1089;&#1084;&#1086;&#1090;&#1088;&#1103; &#1085;&#1072; &#1082;&#1086;&#1083;&#1080;&#1095;&#1077;&#1089;&#1090;&#1074;&#1086; &#1074;&#1088;&#1077;&#1084;&#1077;&#1085;&#1080;, &#1087;&#1086;&#1090;&#1088;&#1072;&#1095;&#1077;&#1085;&#1085;&#1086;&#1077; &#1085;&#1072; &#1088;&#1077;&#1087;&#1077;&#1090;&#1080;&#1094;&#1080;&#1080;, &#1074;&#1099;&#1089;&#1090;&#1091;&#1087;&#1083;&#1077;&#1085;&#1080;&#1077; &#1073;&#1072;&#1088;&#1072;&#1073;&#1072;&#1085;&#1097;&#1080;&#1082;&#1072; &#1073;&#1099;&#1083;&#1086; &#1076;&#1077;&#1081;&#1089;&#1090;&#1074;&#1080;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086; &#1086;&#1084;&#1077;&#1088;&#1079;&#1080;&#1090;&#1077;&#1083;&#1100;&#1085;&#1099;&#1084;.","Несмотря на количество времени, потраченное на репетиции, выступление барабанщика было действительно омерзительным.","In the above sentence, the quality of the drummer's performance is being described in terms of: ",В этом предложении качество выступления описано как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1082;&#1072;&#1095;&#1077;&#1089;&#1090;&#1074;&#1086; &#1074;&#1099;&#1089;&#1090;&#1091;&#1087;&#1083;&#1077;&#1085;&#1080;&#1103; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1086; &#1082;&#1072;&#1082;:,Goodness/Badness is Smell,Положительность/Отрицательность,Foul-Smelling,Неприятный запах,&#1053;&#1077;&#1087;&#1088;&#1080;&#1103;&#1090;&#1085;&#1099;&#1081; &#1079;&#1072;&#1087;&#1072;&#1093;,Cleanliness,Чистота,&#1063;&#1080;&#1089;&#1090;&#1086;&#1090;&#1072;,Size,Размер,&#1056;&#1072;&#1079;&#1084;&#1077;&#1088;,Vertical Positioning,Позиция по вертикали,&#1055;&#1086;&#1079;&#1080;&#1094;&#1080;&#1103; &#1087;&#1086; &#1074;&#1077;&#1088;&#1090;&#1080;&#1082;&#1072;&#1083;&#1080;,2
21,"Despite the amount of time spent rehearsing, the drummer's performance was sloppy.","&#1053;&#1077;&#1089;&#1084;&#1086;&#1090;&#1088;&#1103; &#1085;&#1072; &#1082;&#1086;&#1083;&#1080;&#1095;&#1077;&#1089;&#1090;&#1074;&#1086; &#1074;&#1088;&#1077;&#1084;&#1077;&#1085;&#1080;, &#1087;&#1086;&#1090;&#1088;&#1072;&#1095;&#1077;&#1085;&#1085;&#1086;&#1077; &#1085;&#1072; &#1088;&#1077;&#1087;&#1077;&#1090;&#1080;&#1094;&#1080;&#1080;, &#1074;&#1099;&#1089;&#1090;&#1091;&#1087;&#1083;&#1077;&#1085;&#1080;&#1077; &#1073;&#1072;&#1088;&#1072;&#1073;&#1072;&#1085;&#1097;&#1080;&#1082;&#1072; &#1073;&#1099;&#1083;&#1086; &#1076;&#1077;&#1081;&#1089;&#1090;&#1074;&#1080;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086; &#1086;&#1090;&#1074;&#1088;&#1072;&#1090;&#1080;&#1090;&#1077;&#1083;&#1100;&#1085;&#1099;&#1084;.","Несмотря на количество времени, потраченное на репетиции, выступление барабанщика было действительно отвратительным.","In the above sentence, the quality of the drummer's performance is being described in terms of: ",В этом предложении качество выступления описано как:,&#1042; &#1101;&#1090;&#1086;&#1084; &#1087;&#1088;&#1077;&#1076;&#1083;&#1086;&#1078;&#1077;&#1085;&#1080;&#1080; &#1082;&#1072;&#1095;&#1077;&#1089;&#1090;&#1074;&#1086; &#1074;&#1099;&#1089;&#1090;&#1091;&#1087;&#1083;&#1077;&#1085;&#1080;&#1103; &#1086;&#1087;&#1080;&#1089;&#1072;&#1085;&#1086; &#1082;&#1072;&#1082;:,Goodness/Badness is Cleanliness,Положительность/Отрицательность,Dirty,Грязь,&#1043;&#1088;&#1103;&#1079;&#1100;,Smell,Запах,&#1047;&#1072;&#1087;&#1072;&#1093;,Being Asleep/Awake,Сон/ Бодрствование,&#1057;&#1086;&#1085;/ &#1041;&#1086;&#1076;&#1088;&#1089;&#1090;&#1074;&#1086;&#1074;&#1072;&#1085;&#1080;&#1077;,Holding an object,Держание объекта,&#1044;&#1077;&#1088;&#1078;&#1072;&#1085;&#1080;&#1077; &#1086;&#1073;&#1098;&#1077;&#1082;&#1090;&#1072;,2
