Unique ID,Critical Vignette Fasri,Consistent Completion Farsi,Vignette A Metaphor,Inconsistent Completion Farsi,Inconsistent Completion Metaphor,Inconsistent Completion Metaphor Farsi,Set
11,هنرمند به سمت این ایده که به رسمیت شناخته شود کشیده می شد. او مشهور شدن را بسیار جذاب می یافت,از زمانیکه بچه بود، همواره به سوی جلب توجه دیگران کشیده می شدطلب کردن نیرو است,Desire is Force,از زمانیکه بچه بود، همواره جلب توجه دیگران را می طلبید,Desire is Hunger,طلبیدن گرسنگی است,2
12,هنرمند تشنه این بود که به رسمیت شناخته شود. دورنمای اینکه روزی مشهور شود، آب از دهانش سرازیر می کرد,از وقتی که بچه بود، همواره در آرزوی جلب توجه دیگران بودطلب کردن گرسنگی است,Desire is Hunger,از وقتی که بچه بود، همیشه به سمت جلب توجه دیگران جذب می شد,Desire is Force,طلب کردن یک نیرو است,2
13,روحیه هنرمند در هنگام دست و پنجه نرم کردن با مشکلات مالی ضعیف شده بود. ولی پس از فروش یک تابلوی نقاشی، چشمهایش برق زد,نظرش نسبت به آینده بهتر شد و آرزو کرد که هرگز به پیسی نیفتد,Happiness is Brightness,نظرش نسبت به آینده بهتر شد و آرزو کرد که هرگز به قهقهرل نیفتد,Happiness is Elevation,خوشبختی صعود است,2
14,هنرمند در مقابله با مشکلات مالی اش، روحیه اش را از دست داده بود. ولی پس از آنکه یک تابلوی نقاشی فروخت، حال و هوایش تغیر کرد,نظر مثبتی به آینده پیدا کرد و امیدوار شد که هرگز به قهقرا نیفتد,Happiness is Elevation,نظر مثبتی به آینده پیدا کرد و امیدوار شد که هرگز به نقطه تاریکی نرسد,Happiness is Brightness,خوشبختی روشنی است,2
15,پرونده سیاستمدار لکه های بسیار داشت. ولی زمانیکه خبر فساد مالی وی به بیرون درز کرد، شهرتش بطور جدی آسیب دید,در مصاحبه خبری امروز، چهره اش گناه آلود بود,Badness is Dirtiness,در مصاحبه خبری امروز، از چهره اش گناه  می بارید,Badness is Foul-Smell,بدی بوی بد است,2
16,پرونده سیاستمدار خراب بود  ولی با درز اخبار فساد مالی وی ، شهرتش بکلی نابود شد,در مصاحبه خبری امروز، از چهره اش گناه می بارید,Badness is Foul-Smell,در مصاحبه خبری امروز، چهره اش گناه آلود بود,Badness is Dirtiness,بد بودن آلودگی است,2
17,بندر بزرگترین دارایی تجاری شهر است. نقش بسیار به سزایی در حفاظت از سیستم حمل و نقل بازی می کند,بخش بسیار بزرگی از موفقیت تجاری شهر است,Importance is Size,هسته مرکزی موفقیت شهر است,Importance is Centrality,اهمیت مرکزیت است,2
18,بندرگاه کانون اقتصادی شهر است. بندر نقش اساسی در حفاظت سیستم حمل و نقل ایفا می کند,بندرگاه هسته موفقیت بازرگانی شهر است,Importance is Centrality,بندرگاه بخش عظیمی از موفقیت بازرگانی شهر است,Importance is Size,اهمیت در اندازه است,2
19,دانشجو بسیار سخت کوشیده است و در شرف احاطه به مطالب درسی است. اما هنوز به مطالب احاطه نیافته است,او مطمئن است که  برمطالب دشواردرسی احاطه پیدا می کند و در کلاس موفق  می شود,Achieving a goal is Acquiring Object,او مطمئن است که از عهده  مطالب دشوار درسی بر می آید و در کلاس موفق می شود,Achieving goal is Reaching destination,دستیابی به هدف، رسیدن به مقصد است,2
20,دانشجو با سختکوشی درس خوانده است و به درک مطلب نزدیک شده است. اما هنوز کاملاً موفق نشده است,او مطمئن است که از پس درک مطالب دشوار بر خواهد آمد و در کلاس موفق خواهد شد,Achieving goal is Reaching destination,او مطمئن است که بر مطالب دشوار احاطه پیدا می کند و در کلاس موفق خواهد شد,Achieving a goal is Acquiring Object,دستیابی به هدف، بدست آوردن یک شی است,2
