source concept,target concept,source concept keywords,target concept keywords,source context words,target context words,context,polarity,score
liquid,governance.plusnames,"islands,beach,sea,bay,florida,storm,coast,tropical,hurricane,ocean","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",quake;tremors,biden,mr biden was to a string of minor tremors over the past year in the youngstown ohio area including a quake that shook the city on new year s eve,POSITIVE,-9.993340692
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",eugenics,votes,eugenics no votes say a lot about the general assembly,NEGATIVE,-9.993014498
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",corrections,santorum,previous post important corrections rick santorum is blown and tossed,NEUTRAL,-9.992985862
animals,governance.plusnames,"animals,animal,species,dog,horse,dogs,wild,horses,zoo,cat","sir,lord,henry,earl,queen,charles,thomas,duke,edward,prince",cubs;homo;likes,lady;owner;ricketts;agenda;ricketts;daughter;rickett,not all the ricketts laura ricketts joe rickett s daughter is a lady homo and also part owner of the cubs she s a card carrying member of the vast lbgt agenda community and quite likes the obama,POSITIVE,-9.99192407
liquid,governance.plusnames,"mountain,km,mountains,forest,valley,mount,antarctic,range,ice,sea","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",wide;names;names,conservatives;vote;elections,get their names and put them out there where conservatives can see their names and vote them out in the next state wide elections in the gop,POSITIVE,-9.99164014
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",bunghole,romney;lbj,if lbj is going to be mentioned by romney who is a bunghole then this belongs with it,NEUTRAL,-9.991414429
war,governance.plusnames,"regiment,corps,command,infantry,troops,battalion,commander,soldiers,attack,unit","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",loaded;rape;offensive;rape,gop;liberal,rape is just another liberal buzzword the gop moves to change the loaded term rape to the much less offensive term surprise sex,POSITIVE,-9.990471893
vehicle,governance.plusnames,"railway,trains,train,rail,bus,railroad,lines,stations,passenger,opened","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",operating,moratorium;gop;republican;earmarking,the republican controlled house is currently operating under a moratorium on earmarking but if several gop earmarxists have their say this will change in the near future,NEUTRAL,-9.990088611
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",cops,voluntary;exempted;unfairly;dues,dues voluntary although he unfairly exempted cops and firefighter,NEGATIVE,-9.989541705
body,governance.plusnames,"blood,disease,treatment,patients,syndrome,drug,symptoms,cause,cancer,effects","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",risk,mourdock;ticket;senate,mourdock for senate and risk for house in district sure sounds like a good ticket to me,NEGATIVE,-9.989512036
color,governance.plusnames,"blue,green,flag,color,arms,wear,worn,yellow,coat,cross","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",lining;pockets,mitt;foreclosures;fees,you mean the secret plan that involves fees interest rates and foreclosures lining the pockets of the like of mitt romney,POSITIVE,-9.987578706
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",equipment;loading;loader;archery;equipment;resting,nor;revocations;person;adjudged;violations;vagueness;federal;passed;nor;jurisdictions;laws,no not really other places in the law provide for the basis of denial resting upon violations and revocations in other jurisdictions rsa b rsa the larger point is do we want to utilize the vagueness of the federal law moreover firearms are only one component of our hunting laws archey equipment and muzzle loading rifles are the other component i would not want to face a person in the woods having been adjudged to be insane and armed with archery equipment nor a muzzle loader nhwf did not nor oppose the law because its final effect if passed is unknown,POSITIVE,-9.987493119
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",stereotype;gay;abortionist,republicans;voters;educated,he s a black gay marxist elitist educated uppity god hating athiest muslin abortionist that wants to take away your guns i guess the only stereotype the republicans haven t used yet to make rightie voters have nightmares it is to make him a lazy messican trying to take away your jobs,POSITIVE,-9.987210448
flight,governance.plusnames,"aircraft,airport,flight,squadron,wing,airlines,flying,aviation,fighter,base","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",hmm,hillary;secretary;clinton,hmm is hillary clinton becoming an embarrassment as secretary of state,NEUTRAL,-9.986126985
sports,governance.plusnames,"round,olympic,championships,championship,tournament,medal,competition,olympics,gold,cup","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",loser;tanked,foisting;mccain,after all they re the ones who ensured mccain tanked after foisting the old loser on the rest of the party,POSITIVE,-9.986109475
pathways,governance.plusnames,"highway,jersey,avenue,ny,px,interstate,washington,accessed,traffic,sr","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",traffic;congested;runs,sat;limit;federal;opponent;passed,down here in the liberalville charlottesville they also sat on billions of federal funds for more than years to build an alternate route around the always traffic congested route that runs right through the major shopping area in the city the time limit to make that happen passed and i believe they had to repay the money to the feds guess who has been a very vocal opponent of the by pass john grisham yes that john grisham he lives just south of charlottesville,POSITIVE,-9.985383746
primary_metaphors,governance.plusnames,"museum,tower,stone,painting,architecture,castle,gallery,collection,palace,designed","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",painting,republicans;republicans,republicans eat their own so if saturn in the painting is the republicans shouldn t the dismembered titan that he s gnawing on be much chubbier,NEUTRAL,-9.984260348
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",terrorists,estate;ronald;negotiate;unless;reagan,we do not negotiate with terrorists unless there s a possibility of a sweet real estate development deal ronald reagan june,NEGATIVE,-9.983762321
sports,governance.plusnames,"hockey,basketball,nba,nhl,coach,points,ice,players,teams,cup","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",ice;police,immigration;delegation;nationality;immigration;authority;authority;section,delegation of immigration authority section g immigration and nationality act giving trained az police ice like authority to assisit ice,POSITIVE,-9.983149117
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",youths,pundits;conservative,next post conservative pundits to youths stop being such trollops at cpac,NEUTRAL,-9.982752098
flight,governance.plusnames,"aircraft,airport,flight,squadron,wing,airlines,flying,aviation,fighter,base","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",adf;lorence,rights;rulings;attorney;appeal;appeals;rights;legal;appeals;intend;amendment;grounds;judge;trial;courts;commission;hrc;upheld;decision,unfortunately the courts don t seem to agree in a trial judge sided with the hrc s finding setting up a second round of legal challenges yesterday the new mexico court of appeals also upheld the commission s decision on the grounds of the state s human rights act to adf attorney jordan lorence the rulings have both shown a stunning disregard of the huguenins first amendment rights they intend to appeal the case to the new mexico court and beyond if necessary,POSITIVE,-9.981980455
color,governance.plusnames,"blue,green,flag,color,arms,wear,worn,yellow,coat,cross","kingdom,emperor,empire,prince,iii,duke,count,hungary,hungarian,iv",colored;blue,bastard;territories,taking those bastard blue colored european territories always,POSITIVE,-9.981228406
vehicle,governance.plusnames,"energy,gas,linear,oil,socorro,nuclear,fuel,heat,pressure,plant","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",epa;regulators,appointment;voters;usurped;actions;nlrb;recess;authority;ftc;constitution;doj,if you think he has usurped his authority and trashed the constitution with his actions and those of his regulators so far including recess appointment doj fcc ftc epa and nlrb just wait until he doesn t have to face voters again,POSITIVE,-9.979734071
liquid,governance.plusnames,"mountain,km,mountains,forest,valley,mount,antarctic,range,ice,sea","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",edge,pollster;percent;voters,percent edge among likely voters that the pollster said falls,NEUTRAL,-9.97926307
body,governance.plusnames,"blood,disease,treatment,patients,syndrome,drug,symptoms,cause,cancer,effects","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",painful;push,bill;obama;menendez,obama menendez push economically painful anti energy bill u s news & world report,POSITIVE,-9.979024266
planning,governance.plusnames,"uploaded,jpg,nov,oct,png,sep,dec,aug,jan,mar","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",oct,rally;endorses;justice;washington,green party endorses the one nation working together rally in washington dc on oct for jobs justice education and peace,NEUTRAL,-9.978540991
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",cheers,oversight;issa;committee,once again three cheers for darrell issa and the house oversight committee for conquering youtube,NEUTRAL,-9.97851832
flight,governance.plusnames,"aircraft,airport,flight,squadron,wing,airlines,flying,aviation,fighter,base","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",orly,certificate;sheriff;obama;results;taitz,sheriff joe orly arpaio taitz to announce results of obama birth certificate investigation at 3pm,NEUTRAL,-9.976733107
color,governance.plusnames,"blue,green,flag,color,arms,wear,worn,yellow,coat,cross","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",cap;cap,committee;senior,cap senior fellow daniel j weiss testifies before the house committee on natural resources read the full testimony cap action,POSITIVE,-9.976212292
animals,governance.plusnames,"animals,animal,species,dog,horse,dogs,wild,horses,zoo,cat","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",weigh,commissioners;marriage,wake commissioners to weigh in on gay marriage amendment,NEUTRAL,-9.975459521
vehicle,governance.plusnames,"energy,gas,linear,oil,socorro,nuclear,fuel,heat,pressure,plant","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",smoke,howard;obama,mr obama is pretending that an economic recovery is underway when he knows damn well that the banking system is just blowing smoke up the shredded of what s left of that economy james howard kunstler,NEUTRAL,-9.975314005
flight,governance.plusnames,"aircraft,airport,flight,squadron,wing,airlines,flying,aviation,fighter,base","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",base,stepped;appealed;conservative;democrats;reagan,he had a conservative message that appealed to a base the reagan democrats stepped forward to him,NEUTRAL,-9.974823711
vehicle,governance.plusnames,"energy,gas,linear,oil,socorro,nuclear,fuel,heat,pressure,plant","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",fossil;fuel,affirmative;majority;busing;voters;pension;action;liberals;employee,with forced busing affirmative action overly generous public employee pension and health care plans environmental hobbling of the fossil fuel industry universal health care etc liberals have been trying to persuade the majority of voters that they have to sacrifice what they already have so that others will have some too,POSITIVE,-9.974585941
plants,governance.plusnames,"species,genus,birds,plants,tree,plant,bird,trees,leaves,cm","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",winged;prostrate,majority;gerrymandered;boundaries;districts;federal;congressional;democrats;judge;delegation;districts;gerrymandering;egregious,almost every state has a horror story about gerrymandering and egregious district boundaries but none compare to maryland in order to achieve a majority in the congressional delegation maryland democrats have spliced up baltimore city into districts when the immediate are factored in there are a total of districts in the baltimore metro area take a look at the 3rd district which is possibly the most gerrymandered district in the country a federal judge called it a broken winged pterodactyl lying prostrate across the center of the state,POSITIVE,-9.974010949
animals,governance.plusnames,"animals,animal,species,dog,horse,dogs,wild,horses,zoo,cat","sir,lord,henry,earl,queen,charles,thomas,duke,edward,prince",ponies,jousting;hannity,or jousting ponies i hear they re all the rage in the hannity household,NEUTRAL,-9.973430325
vehicle,governance.plusnames,"railway,trains,train,rail,bus,railroad,lines,stations,passenger,opened","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",operate,obama;senate,while in the senate obama preferred to operate as a party of,NEUTRAL,-9.973370505
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",weekend;documentary;watched,santorum,santorum watched the hunger games this weekend but only because he thought it was a documentary on effective governance,POSITIVE,-9.973254304
vehicle,governance.plusnames,"energy,gas,linear,oil,socorro,nuclear,fuel,heat,pressure,plant","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",smoke,howard;obama,mr obama is pretending that an economic recovery is underway when he knows damn well that the banking system is just blowing smoke up the shredded of what s left of that economy james howard kunstler,NEUTRAL,-9.97257121
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",cream;ice,vetted;romney,the story was entirely false mr romney told reporters at an impromptu gaggle outside an ice cream stand marco rubio is being thoroughly vetted as part of our process,POSITIVE,-9.970838662
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",health;care;gay,romney;politics;issues;advisers;campaign;rights,fehrnstrom well i think you hit a reset button for the fall campaign everything changes it s almost like an etch a sketch you can kind of shake it up and restart all of over again we all knew that romney s politics were cynical and he s flip flopped on a number of important issues like choice gay rights health care but i didn t expect his own advisers to come out and admit it,POSITIVE,-9.970760688
liquid,governance.plusnames,"mountain,km,mountains,forest,valley,mount,antarctic,range,ice,sea","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",pass;narrow;fault,bill;sensenbrenner;represent;undocumented,if we pass the sensenbrenner bill alongside the rubio dream act which targets a narrow category of undocumented immigrants here through no fault of their own it would represent a significant victory,POSITIVE,-9.970625168
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",striking,voters;romney;attended,in a rather striking division rick sanotrum won among people who had either not attended or not completed college romney won among voters who had a college education or more,NEUTRAL,-9.970260403
primary_metaphors,governance.plusnames,"museum,tower,stone,painting,architecture,castle,gallery,collection,palace,designed","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",facing;proportions,obama;barack;elect;obama,november obama we are facing an economic crisis of historic proportions president elect barack obama remarks announcing members of the economic team chicago il,POSITIVE,-9.970100456
theater,governance.plusnames,"theatre,stage,musical,miss,actress,theater,actor,starring,mother,directed","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",costume,ronald;liberal,a friend of mine was asked to a costume ball a short time ago he slapped some egg on his face and went as a liberal economist ronald reagan,NEUTRAL,-9.968916621
sports,governance.plusnames,"round,olympic,championships,championship,tournament,medal,competition,olympics,gold,cup","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",advance;races,senate;candidates,green party candidates advance in races for the us senate top stories videos,POSITIVE,-9.968259676
liquid,governance.plusnames,"islands,beach,sea,bay,florida,storm,coast,tropical,hurricane,ocean","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",deep;lunch;food;eastern,onslow;percent;rep,in fact in rep cleveland s own home county of the residents are living below the poverty level based on the latest census data more than children in that county receive free or reduced lunch according to the food bank of central and eastern north carolina and just over ten percent of the children in onslow county are members of families living in deep poverty defined as earning less than a year for a family of four,POSITIVE,-9.967736319
body,governance.plusnames,"blood,disease,treatment,patients,syndrome,drug,symptoms,cause,cancer,effects","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",floaters,republican;republican,if they are republican it s appropriate to to them as floaters first ladies of another terrible egomaniacal republican shithead,NEUTRAL,-9.967146192
liquid,governance.plusnames,"mountain,km,mountains,forest,valley,mount,antarctic,range,ice,sea","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",cave,favor;stood;matter;republicans;vote;vote,doesn t really matter now i was to see of the republicans vote in favor of the measure there was a continue thought that a few dozen might cave and vote against it cheers to them they stood firm,NEUTRAL,-9.966379895
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",slip,hillary;clinton;obama,could hilary rosen s slip put hillary clinton on obama s ticket,NEUTRAL,-9.964510965
planning,governance.plusnames,"uploaded,jpg,nov,oct,png,sep,dec,aug,jan,mar","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",oct,rally;endorses;justice;washington,green party endorses the one nation working together rally in washington dc on oct for jobs justice education and peace,NEUTRAL,-9.963162911
animals,governance.plusnames,"episode,disney,characters,animated,episodes,mr,cartoon,voice,animation,comic","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",butt,republican;senators;seats;sitting,also rarely mentioned is the fact that sitting state senators in wisconsin were also recalled and the republican won all of those seats as well this was an old fashioned butt kicking,NEUTRAL,-9.962751519
vehicle,governance.plusnames,"energy,gas,linear,oil,socorro,nuclear,fuel,heat,pressure,plant","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",temperature,barack;mitt;obama,temperature check is barack obama preferable to mitt romney,NEUTRAL,-9.962596434
chess,governance.plusnames,"gold,chess,silver,mine,coins,mining,coal,coin,currency,mines","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",compare,obama,of obama the wimp they compare him to jimmy carter who suffered,NEUTRAL,-9.962331327
health,governance.plusnames,"health,medical,hospital,sex,child,care,sexual,gay,marriage,medicine","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",disabled;developmentally,gov;argument;elected,gov jan was interviewed on the steps of the court after today s argument she sounds extremely dumb like developmentally disabled dumb seems that anyone can get elected to anything in arizona,POSITIVE,-9.961523273
liquid,governance.plusnames,"islands,beach,sea,bay,florida,storm,coast,tropical,hurricane,ocean","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",surge,candidate,as i write it is mid afternoon on friday and there is a reported surge for the leftist candidate hamdeen sabahi he is now said to be in second place ahead of former aviation minister and air force general ahmad shafiq,NEUTRAL,-9.960012144
war,governance.plusnames,"mm,gun,weapons,tank,missile,guns,weapon,rifle,fire,range","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",firearms;gun,bans;issue;registration;romney;issue;favor,one final point we went into north dakota with the issue of romney s abysmal record in favor of firearms registration and gun bans and we won anyone who thinks the same issue will not resonate in places like alabama and mississippi is kidding himself,POSITIVE,-9.959404105
vehicle,governance.plusnames,"energy,gas,linear,oil,socorro,nuclear,fuel,heat,pressure,plant","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",smoke,howard;obama,mr obama is pretending that an economic recovery is underway when he knows damn well that the banking system is just blowing smoke up the shredded of what s left of that economy james howard kunstler,NEUTRAL,-9.958815363
vehicle,governance.plusnames,"railway,trains,train,rail,bus,railroad,lines,stations,passenger,opened","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",train,obamacare;matter;reelection,obamacare or dufuscare cornahol or whatever it doesn t matter what passes for progress so long as the gravy train to their pocketbooks and reelection continues,NEUTRAL,-9.958709379
theater,governance.plusnames,"theatre,stage,musical,miss,actress,theater,actor,starring,mother,directed","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",girl;girl;janet,dnc;action;gop;hillary,gop girl on girl action well it will have to be better than the dnc hillary & janet reno tapes,POSITIVE,-9.958353079
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",intoduced,payer;democratic;reject;republican;congress;urged;washington;sen;medicare;legislation,washington dc the green party called for national for legislation intoduced by sen bernie sanders ind vt for a single payer national health system medicare for all and urged congress to reject republican and democratic plans to scale back medicare,NEUTRAL,-9.958089961
liquid,governance.plusnames,"mountain,km,mountains,forest,valley,mount,antarctic,range,ice,sea","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",climate,sen;inhofe,next post okie sen james inhofe no climate change because bible told him so,NEUTRAL,-9.957596427
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",amnesty,executive;obama;congress,response to congress moves to block obama s executive amnesty order,NEUTRAL,-9.957118808
theater,governance.plusnames,"films,movie,episode,actor,awards,director,directed,appeared,comedy,actress","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",voiceover,approves;obama;romney,voiceover day one president romney immediately approves the keystone pipeline creating thousands of jobs that obama blocked,NEUTRAL,-9.957077345
liquid,governance.plusnames,"islands,beach,sea,bay,florida,storm,coast,tropical,hurricane,ocean","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",keys;yacht,kerry,against john where are the keys to my yacht kerry barrack obama,POSITIVE,-9.955876702
animals,governance.plusnames,"episode,disney,characters,animated,episodes,mr,cartoon,voice,animation,comic","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",funny;laughing;jokes;funny;humor;funny,bush;sit;reagan;democrats;bush;vote;chamber,funny how about wit funny is when something is still funny a year or so later you guys are locked in an echo chamber democrats have been around from the beginning we have been partnered with you red staters in a good cop wrestle to build this great country you guys sit around laughing at your own jokes that are more about cynicism than humor i did not vote for george bush but i respected him as president and certainly respected the office of president of the the united states of america same for reagan and first bush to be a great american there is a line that should not be crossed,POSITIVE,-9.953104676
vehicle,governance.plusnames,"engine,car,model,cars,models,ford,vehicle,engines,rear,speed","rights,legal,laws,fair,copyright,amendment,justice,constitution,federal,resolution",motor;fuel,federal;taxes;practice,practice of using motor fuel taxes to pay for federal transit,POSITIVE,-9.952578678
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",repellent,conservatives;majority,conservatives with views so repellent to the majority of people,NEUTRAL,-9.95239037
liquid,governance.plusnames,"food,wine,rice,meat,milk,tea,sugar,beer,fruit,products","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",fresh;filtered,santorum;santorum,perhaps it is for the best to only view santorum after it has been filtered through five or so generations of tape full fresh santorum is often unpleasant,POSITIVE,-9.952244154
body,governance.plusnames,"steel,hand,ball,surface,wood,metal,type,feet,weight,foot","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",composite,obama;barack,barack obama a composite kenyan,NEUTRAL,-9.950208774
flight,governance.plusnames,"aircraft,airport,flight,squadron,wing,airlines,flying,aviation,fighter,base","election,elected,parliament,elections,prime,liberal,vote,assembly,leader,labour",passenger;flying,lady;voted;election;vote;voted;voting,voting story a colleague of mine was flying from virginia to florida on election day in and jokingly mentioned to the passenger next to him that he had voted that morning and still had to vote later in florida that day the lady got so mad i think it s fortunate it did not happen today with air marshalls and the like she may have gotten some extra attention at the gate in orlando,POSITIVE,-9.94859165
war,governance.plusnames,"police,prison,crime,murder,trial,killed,evidence,arrested,criminal,security","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",alleged;shouted;camp,rights;romney;terms;romney;obama,very clever of the romney camp now whatever president obama does in terms of gay rights he ll be doing exactly what romney chose to do either the first time or else the second time when what he did the first time was shouted down by an overwhelming number of his alleged allies,POSITIVE,-9.947667381
sick,governance.plusnames,"cells,cell,protein,dna,gene,proteins,genetic,virus,genes,acid","governor,republican,senate,election,congress,elected,democratic,committee,senator,washington",tissues,campaign;bans;election;obama;huckabee,i m already dreading the election cycle headlining a new huckabee campaign buy your tissues now before obama bans those too,NEUTRAL,-9.946361037
